date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-03-08,MG,1,21292666,0.0,,,
2020-03-09,MG,1,21292666,0.3846369927772776,,,
2020-03-10,MG,1,21292666,1.1521449091605749,,,
2020-03-11,MG,1,21292666,2.2583264641907963,,,
2020-03-12,MG,2,21292666,3.7321995193904383,,,
2020-03-13,MG,2,21292666,5.645560271628454,,,
2020-03-14,MG,4,21292666,8.104003144872424,,,
2020-03-15,MG,4,21292666,11.240256123361457,,,
2020-03-16,MG,6,21292666,15.249947014789205,,,
2020-03-17,MG,14,21292666,20.333849477821072,,,
2020-03-18,MG,19,21292666,26.811244210307322,,,
2020-03-19,MG,29,21292666,35.08538603385572,,,
2020-03-20,MG,38,21292666,45.60892301331781,,,
2020-03-21,MG,54,21292666,59.031134825781315,,,
2020-03-22,MG,54,21292666,76.07343314386095,,,
2020-03-23,MG,128,21292666,97.68879827222835,,,
2020-03-24,MG,130,21292666,120.49471166108101,,,
2020-03-25,MG,133,21292666,142.8436796672444,,,
2020-03-26,MG,153,21292666,165.38330853241914,,,
2020-03-27,MG,189,21292666,188.4558398969301,,,
2020-03-28,MG,205,21292666,212.28501196764802,,,
2020-03-29,MG,231,21292666,237.026946450108,2469867.0,1.74174602919388,1.7342158857148249
2020-03-30,MG,261,21292666,262.7828514052131,2469867.0,2.0081084869054497,1.626377959032811
2020-03-31,MG,275,21292666,289.6338737942868,2469867.0,2.052383143831753,1.5447310371701728
2020-04-01,MG,314,21292666,317.65689215038736,2469867.0,1.7358493485751039,1.4821223950465927
2020-04-02,MG,370,21292666,346.9101272385372,2469867.0,1.915359912528778,1.4335849758761932
2020-04-03,MG,397,21292666,377.4558089995671,2469867.0,1.785019788146877,1.3956501167100483
2020-04-04,MG,430,21292666,409.36103591606974,2469867.0,1.2203578430987934,1.3658478881666936
2020-04-05,MG,498,21292666,442.68147806970205,2469867.0,1.0665921039949078,1.3423316166068997
2020-04-06,MG,525,21292666,477.4873831597207,2469867.0,1.2617591523285192,1.3237230305562009
2020-04-07,MG,559,21292666,513.8391978615139,2469867.0,0.9408497415866064,1.3089084478322714
2020-04-08,MG,614,21292666,551.8001329770718,2469867.0,1.2569256656604662,1.2971235675128785
2020-04-09,MG,655,21292666,591.4339850032895,2469867.0,1.173370419259827,1.2876524290061035
2020-04-10,MG,698,21292666,632.83057539452,2469867.0,1.0237094586397089,1.280187057483914
